reg;statistic
Республика Карелия;6,8
Республика Коми;10
Архангельская область;12,6
Вологодская область;10,7
Калининградская область;7,3
Ленинградская область;12,7
Мурманская область;9,9
Новгородская область;6,2
Псковская область;6,9
Санкт-Петербург;43,8
